country,age_group,share
saudi arabia,6-24,0.34286625568698015
united kingdom,6-24,0.2548143460342337
italy,6-24,0.1959009731807423
france,6-24,0.25464189199793147
saudi arabia,25-44,0.4631164385381119
united kingdom,25-44,0.27752587933994477
italy,25-44,0.2455831538527928
france,25-44,0.25270177659467696
saudi arabia,45-54,0.11172852318269
united kingdom,45-54,0.14149497756422758
italy,45-54,0.166568626572031
france,45-54,0.13910675452684912
saudi arabia,55-64,0.05459888748589878
united kingdom,55-64,0.1289129140539936
italy,55-64,0.14904967206221292
france,55-64,0.13435398356261305
saudi arabia,65-74,0.018465750610536832
united kingdom,65-74,0.10646746109584289
italy,65-74,0.11937844811206462
france,65-74,0.11847420956125433
saudi arabia,75+,0.00922414449578247
united kingdom,75+,0.09078442191175756
italy,75+,0.12351912622015655
france,75+,0.1007213837566751
